frequency_hz,V6,V8,inline-4,inline-6,single-cylinder
495.263671875,-4.787948863693166,-6.279178989438489,-5.744572888595448,-6.226893410050932,-5.064198888746621
506.0302734375,-4.734359499298493,-6.328595333457122,-5.782876325695437,-6.257759289691559,-5.114059040590251
516.796875,-4.669627576284976,-6.341400200514776,-5.830997553497997,-6.283345498445238,-5.121767843179928
527.5634765625,-4.570727636672436,-6.366238267679644,-5.863462567141862,-6.307289478730217,-5.172259208782947
538.330078125,-4.532013951163463,-6.389955165050798,-5.874409046460952,-6.3299085442668686,-5.19326994568623
549.0966796875,-4.432337600548329,-6.420371841261405,-5.886681694848461,-6.350343504555135,-5.1958269591975315
559.86328125,-4.370880004434711,-6.482833713529998,-5.92225955019914,-6.364930893178777,-5.195554811689356
570.6298828125,-4.279751049220726,-6.493565165561128,-5.959905077983052,-6.380005999381011,-5.2114652435010465
581.396484375,-4.2402313567488,-6.55558826979502,-5.986475028985482,-6.438014128550406,-5.210797365638141
592.1630859375,-4.190191019870956,-6.621314766117137,-5.997168150302515,-6.466975051857396,-5.227258774324125
602.9296875,-4.1832794680057965,-6.682246939679748,-6.051616639851094,-6.4958439743306995,-5.242569733850838
613.6962890625,-4.150783862764675,-6.782291186263163,-6.071281700005541,-6.5355104603083385,-5.253353095367012
624.462890625,-4.158381575168556,-6.8430027224906915,-6.110857248058156,-6.582499620529884,-5.271035521394631
635.2294921875,-4.143803074370122,-6.9190244513956936,-6.153237216545955,-6.6518371566623316,-5.299994966461252
645.99609375,-4.216063644395043,-6.99235239781374,-6.1942490680437725,-6.702259782662191,-5.356296794862956
656.7626953125,-4.234063807514544,-7.057578227969083,-6.21673323710656,-6.781974849806884,-5.406647097876295
667.529296875,-4.308800026490187,-7.148302542370469,-6.251576212349931,-6.862440633220071,-5.4578909564641185
678.2958984375,-4.401252190816396,-7.228007567963606,-6.309838730380112,-6.938074966978337,-5.573383574400278
689.0625,-4.4780634675726425,-7.337996508638919,-6.389203189430088,-6.998511382385677,-5.638067832595696
699.8291015625,-4.607626843094755,-7.4487328833902025,-6.449158639026537,-7.129748907635416,-5.7224242717912395
710.595703125,-4.718130853745714,-7.540802078495085,-6.551629270609517,-7.181564704855096,-5.774248043402537
721.3623046875,-4.892064922532088,-7.645165831185845,-6.633478634292784,-7.308706765749457,-5.818482900954451
732.12890625,-4.984798407304212,-7.7593944626401745,-6.708234425273417,-7.391867611622033,-5.857552442530224
742.8955078125,-5.121629523691177,-7.849345159106206,-6.765190509283935,-7.530636048908841,-5.922569933529827
753.662109375,-5.240651885796237,-7.969842450393581,-6.863751404508434,-7.624567647018437,-5.991583981728215
764.4287109375,-5.357780288552943,-8.043150554926452,-6.934194209467972,-7.730669502265096,-6.071830635539922
775.1953125,-5.467584821006982,-8.118471577737072,-7.006900677830428,-7.791096120888537,-6.061916449275877
785.9619140625,-5.624254258001156,-8.155715583633931,-7.067277347952066,-7.924038151860315,-6.109062919855275
796.728515625,-5.694180002106488,-8.172922472090246,-7.133467372352072,-7.97842200779525,-6.120539514549559
807.4951171875,-5.842245769574229,-8.190197699997633,-7.160811363900213,-8.131464697902453,-6.181633363640933
818.26171875,-5.897106500314542,-8.242258789689568,-7.252616281330714,-8.169704129148087,-6.20700398238524
829.0283203125,-6.026702182988886,-8.258123413704265,-7.288666066262723,-8.271595355025736,-6.2756155462903696
839.794921875,-6.118990754215168,-8.286421472978564,-7.367712958318381,-8.327345224351644,-6.299270115286435
