engine_configuration,bootstrap,theta_max_deg,r_ref,r_used,n_train_clips,n_sampled_clips,n_frames_sampled
inline-6,64,15.650747299194336,3,3,42,29,1450
inline-6,65,3.8532066345214844,3,3,42,29,1450
inline-6,66,8.756026268005371,3,3,42,29,1450
inline-6,67,19.591407775878906,3,3,42,29,1450
inline-6,68,19.39763641357422,3,3,42,29,1450
inline-6,69,5.6610894203186035,3,3,42,29,1450
inline-6,70,8.948960304260254,3,3,42,29,1450
inline-6,71,9.484956741333008,3,3,42,29,1450
inline-6,72,3.4481570720672607,3,3,42,29,1450
inline-6,73,9.775534629821777,3,3,42,29,1450
inline-6,74,11.96306037902832,3,3,42,29,1450
inline-6,75,8.599939346313477,3,3,42,29,1450
inline-6,76,5.7605485916137695,3,3,42,29,1450
inline-6,77,14.047689437866211,3,3,42,29,1450
inline-6,78,10.878512382507324,3,3,42,29,1450
inline-6,79,39.58637619018555,3,3,42,29,1450
inline-6,80,4.385124206542969,3,3,42,29,1450
inline-6,81,12.69911003112793,3,3,42,29,1450
inline-6,82,11.734634399414062,3,3,42,29,1450
inline-6,83,11.121424674987793,3,3,42,29,1450
inline-6,84,16.943822860717773,3,3,42,29,1450
inline-6,85,12.334636688232422,3,3,42,29,1450
inline-6,86,4.385168552398682,3,3,42,29,1450
inline-6,87,12.259015083312988,3,3,42,29,1450
inline-6,88,9.027827262878418,3,3,42,29,1450
inline-6,89,7.120754241943359,3,3,42,29,1450
inline-6,90,18.76466941833496,3,3,42,29,1450
inline-6,91,24.37827491760254,3,3,42,29,1450
inline-6,92,9.947537422180176,3,3,42,29,1450
inline-6,93,4.393869876861572,3,3,42,29,1450
inline-6,94,6.1488938331604,3,3,42,29,1450
inline-6,95,5.514554500579834,3,3,42,29,1450
inline-6,96,6.0825066566467285,3,3,42,29,1450
inline-6,97,11.414369583129883,3,3,42,29,1450
inline-6,98,5.879032611846924,3,3,42,29,1450
inline-6,99,14.75207233428955,3,3,42,29,1450
V6,0,6.650068283081055,3,2,38,27,1350
V6,1,6.8111186027526855,3,3,38,27,1350
V6,2,10.715368270874023,3,3,38,27,1350
V6,3,19.66766357421875,3,3,38,27,1350
V6,4,39.850067138671875,3,3,38,27,1350
V6,5,33.06022262573242,3,3,38,27,1350
V6,6,10.050640106201172,3,3,38,27,1350
V6,7,4.215146064758301,3,2,38,27,1350
V6,8,14.799234390258789,3,3,38,27,1350
V6,9,10.139368057250977,3,3,38,27,1350
V6,10,14.73317813873291,3,3,38,27,1350
V6,11,16.377216339111328,3,3,38,27,1350
V6,12,6.97367000579834,3,2,38,27,1350
V6,13,8.593199729919434,3,3,38,27,1350
V6,14,18.644834518432617,3,3,38,27,1350
V6,15,8.074164390563965,3,2,38,27,1350
V6,16,26.55559539794922,3,3,38,27,1350
V6,17,23.865068435668945,3,3,38,27,1350
V6,18,46.06404113769531,3,3,38,27,1350
V6,19,33.2822265625,3,3,38,27,1350
V6,20,12.219966888427734,3,3,38,27,1350
V6,21,24.78959846496582,3,3,38,27,1350
V6,22,55.65884017944336,3,3,38,27,1350
V6,23,37.8713493347168,3,3,38,27,1350
V6,24,10.839356422424316,3,3,38,27,1350
V6,25,8.935381889343262,3,3,38,27,1350
V6,26,8.985135078430176,3,3,38,27,1350
V6,27,27.083295822143555,3,3,38,27,1350
V6,28,18.289710998535156,3,2,38,27,1350
V6,29,36.8095588684082,3,3,38,27,1350
V6,30,11.25377082824707,3,3,38,27,1350
V6,31,11.277876853942871,3,3,38,27,1350
V6,32,12.94410514831543,3,2,38,27,1350
V6,33,25.632038116455078,3,3,38,27,1350
V6,34,24.28428840637207,3,3,38,27,1350
V6,35,22.242338180541992,3,3,38,27,1350
V6,36,20.69668960571289,3,3,38,27,1350
V6,37,16.738649368286133,3,3,38,27,1350
V6,38,48.8954963684082,3,3,38,27,1350
V6,39,10.503559112548828,3,2,38,27,1350
V6,40,22.453311920166016,3,3,38,27,1350
V6,41,18.125755310058594,3,3,38,27,1350
V6,42,81.95846557617188,3,3,38,27,1350
V6,43,17.786514282226562,3,3,38,27,1350
V6,44,8.658799171447754,3,3,38,27,1350
V6,45,22.910602569580078,3,3,38,27,1350
V6,46,28.122684478759766,3,3,38,27,1350
V6,47,16.74802589416504,3,2,38,27,1350
V6,48,20.688270568847656,3,3,38,27,1350
V6,49,10.99397087097168,3,2,38,27,1350
V6,50,18.72018814086914,3,2,38,27,1350
V6,51,16.111513137817383,3,3,38,27,1350
V6,52,9.477202415466309,3,3,38,27,1350
V6,53,8.897903442382812,3,3,38,27,1350
V6,54,18.112194061279297,3,2,38,27,1350
V6,55,17.728097915649414,3,3,38,27,1350
V6,56,20.221935272216797,3,3,38,27,1350
V6,57,9.69355297088623,3,2,38,27,1350
V6,58,22.971538543701172,3,3,38,27,1350
V6,59,5.755987167358398,3,2,38,27,1350
V6,60,88.38752746582031,3,3,38,27,1350
V6,61,23.165002822875977,3,3,38,27,1350
V6,62,36.6084098815918,3,3,38,27,1350
V6,63,9.879419326782227,3,3,38,27,1350
V6,64,15.847379684448242,3,3,38,27,1350
V6,65,17.294523239135742,3,3,38,27,1350
